Wall time,Step,Value
1772974383.0498002,2048,640.0
1772974385.8279362,4096,640.0
1772974390.009244,6144,599.7999877929688
1772974398.6447124,8192,609.076904296875
1772974402.3862748,10240,614.875
1772974405.2827182,12288,618.8421020507812
1772974408.006949,14336,622.521728515625
1772974410.76495,16384,624.5384521484375
1772974414.0059602,18432,626.137939453125
1772974417.5963469,20480,613.1514892578125
1772974420.6702108,22528,615.388916015625
1772974424.4078486,24576,617.2820434570312
1772974428.405703,26624,618.90478515625
1772974431.9761221,28672,620.7391357421875
1772974435.5302904,30720,621.9183959960938
1772974439.0029233,32768,622.9615478515625
1772974442.6378288,34816,623.8909301757812
1772974446.0533388,36864,624.72412109375
1772974449.754625,38912,625.7096557617188
1772974453.1826806,40960,626.3692016601562
1772974456.9333503,43008,623.9852905273438
1772974460.502681,45056,620.25
1772974464.1183412,47104,620.9866943359375
1772974467.2912083,49152,621.9493408203125
1772974470.9647567,51200,618.1097412109375
1772974474.5647626,53248,618.6279296875
1772974477.882504,55296,613.7888793945312
1772974480.7814078,57344,605.2340698242188
1772974483.947392,59392,606.3092651367188
1772974486.8232975,61440,602.8200073242188
1772974490.4310255,63488,602.4400024414062
1772974493.8170354,65536,600.280029296875
1772974497.1845284,67584,598.760009765625
1772974500.411506,69632,598.760009765625
1772974503.8994002,71680,593.7000122070312
1772974507.410019,73728,591.7000122070312
1772974510.766724,75776,589.97998046875
1772974513.8008373,77824,587.6400146484375
1772974517.3939974,79872,587.97998046875
1772974526.3155653,81920,587.97998046875
1772974529.3524895,83968,587.97998046875
1772974533.0981817,86016,587.97998046875
1772974536.8801305,88064,587.97998046875
1772974540.361724,90112,585.3499755859375
1772974543.5486834,92160,575.8099975585938
1772974546.706307,94208,575.3800048828125
1772974549.773541,96256,575.3800048828125
1772974553.0460775,98304,573.1900024414062
1772974556.3533392,100352,570.2899780273438
