Wall time,Step,Value
1773006889.1001143,2048,-1.1266666650772095
1773006891.8027697,4096,-1.121666669845581
1773006894.493472,6144,-1.141111135482788
1773006897.116645,8192,-1.1366666555404663
1773006899.7773156,10240,-1.1193749904632568
1773006902.4785776,12288,-1.1252632141113281
1773006905.2213147,14336,-1.0725568532943726
1773006909.2151463,16384,-1.0890865325927734
1773006911.9433372,18432,-1.0964224338531494
1773006914.595918,20480,-1.1005078554153442
1773006917.2984846,22528,-1.0878000259399414
1773006920.1043365,24576,-1.049533724784851
1773006922.7515752,26624,-1.0273481607437134
1773006925.454283,28672,-1.0331732034683228
1773006928.118341,30720,-1.0384892225265503
1773006930.7971733,32768,-1.0401147603988647
1773006933.4034188,34816,-1.0476065874099731
1773006936.0938485,36864,-1.050270676612854
1773006938.7878942,38912,-1.0288740396499634
1773006941.4703243,40960,-1.025542140007019
1773006944.2489128,43008,-1.0200507640838623
1773006946.8781557,45056,-1.0032504796981812
1773006949.53912,47104,-0.9883437752723694
1773006952.297008,49152,-0.976062536239624
1773006954.9947155,51200,-0.9819174408912659
1773006957.6673372,53248,-0.9629826545715332
1773006960.2895334,55296,-0.9662908911705017
1773006963.037091,57344,-0.9456810355186462
1773006965.6817703,59392,-0.9503573775291443
1773006968.3676407,61440,-0.9333487749099731
1773006971.097403,63488,-0.8756669163703918
1773006973.7449157,65536,-0.8351340889930725
1773006976.375877,67584,-0.8205487728118896
1773006978.9590523,69632,-0.8044788241386414
1773006981.713399,71680,-0.8004547357559204
1773006984.4248543,73728,-0.7420235276222229
1773006987.090114,75776,-0.711350679397583
1773006989.745939,77824,-0.7087485194206238
1773006992.4395292,79872,-0.710502564907074
1773006995.1578276,81920,-0.7176822423934937
1773006997.876021,83968,-0.7160822749137878
1773007000.5279458,86016,-0.7120881676673889
1773007003.1615238,88064,-0.7102881669998169
1773007005.846676,90112,-0.7108882069587708
1773007008.5044532,92160,-0.6724644303321838
1773007011.24691,94208,-0.6767334938049316
1773007013.9126601,96256,-0.6435672640800476
1773007016.5564103,98304,-0.6461166143417358
1773007019.270752,100352,-0.6626647710800171
1773007021.9570208,102400,-0.6605122685432434
1773007024.7138586,104448,-0.6468856930732727
1773007027.3451273,106496,-0.6706716418266296
1773007029.997609,108544,-0.6650500297546387
1773007032.7341309,110592,-0.6644500494003296
1773007035.432016,112640,-0.654523491859436
1773007038.089036,114688,-0.6692144274711609
1773007040.7437267,116736,-0.6862231492996216
1773007043.4460316,118784,-0.6649066209793091
1773007046.1892052,120832,-0.6607431769371033
1773007048.810016,122880,-0.682924747467041
1773007051.5369413,124928,-0.662265956401825
1773007054.2904806,126976,-0.673592209815979
1773007057.0606775,129024,-0.7092975378036499
1773007059.8091252,131072,-0.6743218898773193
1773007062.5043123,133120,-0.6946584582328796
1773007065.1863906,135168,-0.6856131553649902
1773007067.9150577,137216,-0.6552897095680237
1773007070.6309066,139264,-0.6286503672599792
1773007073.3452685,141312,-0.6086881756782532
1773007075.9902985,143360,-0.6245769262313843
1773007078.7170343,145408,-0.6018697023391724
1773007081.4406283,147456,-0.5622369050979614
1773007084.230119,149504,-0.5113525390625
1773007086.9118226,151552,-0.4615274965763092
1773007089.5507329,153600,-0.41750064492225647
1773007092.262738,155648,-0.40970906615257263
1773007094.923827,157696,-0.37371906638145447
1773007097.559787,159744,-0.36517688632011414
1773007100.2131732,161792,-0.36518001556396484
1773007102.9024198,163840,-0.36262065172195435
1773007105.59842,165888,-0.27545782923698425
1773007108.404375,167936,-0.2668234705924988
1773007111.2120976,169984,-0.22821596264839172
1773007113.9179883,172032,-0.2043728530406952
1773007116.5475073,174080,-0.10908503830432892
1773007119.2668316,176128,-0.04217692092061043
1773007121.8991737,178176,-0.028347549960017204
1773007124.525686,180224,-0.029087860137224197
1773007127.2125826,182272,-0.015936320647597313
1773007129.8505588,184320,-0.0037153998855501413
1773007132.4923527,186368,0.022513970732688904
1773007135.1524565,188416,0.09980425983667374
1773007137.797517,190464,0.1738080084323883
1773007140.455723,192512,0.19146865606307983
1773007143.2643998,194560,0.22521178424358368
1773007145.9326692,196608,0.23587895929813385
1773007148.5686808,198656,0.24418114125728607
1773007151.1827574,200704,0.25445395708084106
