Wall time,Step,Value
1772994845.1277611,2048,0.8166666626930237
1772994848.648714,4096,0.6833333373069763
1772994856.767068,6144,0.7984374761581421
1772994861.9160836,8192,0.7257211804389954
1772994864.6042473,10240,0.792773425579071
1772994867.481223,12288,0.8097039461135864
1772994870.1484363,14336,0.843444287776947
1772994872.7893999,16384,0.8268930315971375
1772994875.5155191,18432,0.8241109848022461
1772994878.1742218,20480,0.8105823993682861
1772994880.8130767,22528,0.8208116292953491
1772994883.467757,24576,0.8567422032356262
1772994886.223342,26624,0.910363495349884
1772994888.8797002,28672,0.9066677689552307
1772994891.524605,30720,0.9149557948112488
1772994894.189746,32768,0.9268914461135864
1772994896.8852031,34816,0.9400410056114197
1772994899.5824292,36864,0.9436328411102295
1772994902.322324,38912,0.9673529863357544
1772994904.9912925,40960,0.9659903645515442
1772994907.7198641,43008,0.9544708728790283
1772994910.450309,45056,0.9859785437583923
1772994913.1809988,47104,0.9889416098594666
1772994915.8288374,49152,1.0020508766174316
1772994918.5193577,51200,1.0106335878372192
1772994921.4482412,53248,1.0137532949447632
1772994924.2004616,55296,1.050460934638977
1772994926.9055545,57344,1.059753179550171
1772994929.6597028,59392,1.0779266357421875
1772994934.529467,61440,1.1075359582901
1772994943.1100914,63488,1.137892246246338
1772994948.5889652,65536,1.1594157218933105
1772994951.4334247,67584,1.19642972946167
1772994954.1554427,69632,1.2078094482421875
1772994957.0347319,71680,1.2196563482284546
1772994959.7890098,73728,1.2487797737121582
1772994962.5978253,75776,1.2479766607284546
1772994965.3217292,77824,1.2566266059875488
1772994968.0566285,79872,1.2409672737121582
1772994970.7918763,81920,1.2329562902450562
1772994973.5084138,83968,1.2469234466552734
1772994976.3253927,86016,1.222548484802246
1772994979.0444183,88064,1.2184953689575195
1772994981.9015937,90112,1.2114547491073608
1772994984.632942,92160,1.214514136314392
1772994987.3197377,94208,1.2233250141143799
1772994990.1105835,96256,1.2301125526428223
1772994992.8779652,98304,1.212853193283081
1772994995.6123784,100352,1.226912498474121
1772994998.2862303,102400,1.22550630569458
1772995001.087899,104448,1.2261828184127808
1772995003.9092379,106496,1.2341421842575073
1772995006.752946,108544,1.2605875730514526
1772995009.4259315,110592,1.2524110078811646
1772995012.1530933,112640,1.2266203165054321
1772995014.8938246,114688,1.2088156938552856
1772995017.6856365,116736,1.199179768562317
1772995020.4304788,118784,1.1770422458648682
1772995023.2888124,120832,1.190306305885315
1772995026.065969,122880,1.1800422668457031
1772995028.777211,124928,1.150362491607666
1772995031.4847002,126976,1.1535124778747559
1772995034.1969054,129024,1.1690343618392944
1772995036.924819,131072,1.1835875511169434
1772995039.6468654,133120,1.2010047435760498
