Wall time,Step,Value
1772988983.1696472,2048,0.0
1772989013.9799807,4096,0.0
1772989068.378395,6144,0.09143750369548798
1772989107.740698,8192,0.07033653557300568
1772989148.4618578,10240,0.057148437947034836
1772989188.1950622,12288,0.048124998807907104
1772989242.30318,14336,0.039755433797836304
1772989296.8305724,16384,0.03516826778650284
1772989338.1759064,18432,0.031530171632766724
1772989376.3786821,20480,0.028574218973517418
1772989411.4841442,22528,0.026125000789761543
1772989461.4937005,24576,0.02344551309943199
1772989492.681604,26624,0.021770833060145378
1772989529.8114622,28672,0.020319445058703423
1772989593.7339194,30720,0.019049478694796562
1772989617.7243512,32768,0.017928920686244965
1772989664.8969097,34816,0.016625000163912773
1772989691.3863757,36864,0.015765085816383362
1772989718.3922353,38912,0.014989754185080528
1772989757.0509865,40960,0.014287109486758709
1772989796.3307157,43008,0.013647387735545635
1772989836.446621,45056,0.012878521345555782
1772989867.8826048,47104,0.012356419116258621
1772989900.2059176,49152,0.011874999850988388
1772989937.0717707,51200,0.011429687961935997
1772989970.0098257,53248,0.011016566306352615
1772990021.651429,55296,0.010510057210922241
1772990048.071824,57344,0.010159722529351711
1772990087.8244574,59392,0.00983198918402195
1772990123.1506414,61440,0.009524739347398281
1772990168.6893342,63488,0.009236111305654049
1772990236.9578555,65536,0.009143750183284283
1772990274.737369,67584,0.009143750183284283
1772990298.3682227,69632,0.005331249907612801
1772990333.2500653,71680,0.0
1772990383.851464,73728,0.0
1772990423.5961971,75776,0.0
1772990461.143316,77824,0.0
1772990499.4337478,79872,0.0
1772990531.742508,81920,0.0
1772990565.685696,83968,0.0
1772990607.219487,86016,0.0
1772990652.749876,88064,0.0
1772990681.4805393,90112,0.0
1772990702.6214907,92160,0.0
1772990746.4523234,94208,0.0
1772990795.2717724,96256,0.0
1772990831.800786,98304,0.0
1772990873.3983278,100352,0.0
